Altium Designer Pick and Place Locations
C:\git\reflex-ros-pkg\BrainBoard Electrical Files\BrainBoardProject\Project Outputs for BrainBoardProject\Pick Place for reflex_brainboard_RevG.txt

========================================================================================================================
File Design Information:

Date:       17/11/20
Time:       18:01
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment            Layer       Footprint               Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                               
TP19       "SMT Pad"          TopLayer    TP_PAD_20mil            817.000       -583.000      90       "SMT pad for test"                                                                                                                        
TP18       "SMT Pad"          TopLayer    TP_PAD_20mil            974.000       -553.000      90       "SMT pad for test"                                                                                                                        
TP17       "SMT Pad"          TopLayer    TP_PAD_20mil            1203.000      -582.000      90       "SMT pad for test"                                                                                                                        
TP16       "SMT Pad"          TopLayer    TP_PAD_20mil            1097.000      -583.000      90       "SMT pad for test"                                                                                                                        
TP15       "SMT Pad"          TopLayer    TP_PAD_20mil            795.000       -453.000      90       "SMT pad for test"                                                                                                                        
TP14       "SMT Pad"          TopLayer    TP_PAD_20mil            923.000       -581.000      90       "SMT pad for test"                                                                                                                        
R38        Res_0402_49p9_1pct TopLayer    Generic_0402            832.000       -483.000      90       "Resistor 49.9 ohm"                                                                                                                       
R37        Res_0402_49p9_1pct TopLayer    Generic_0402            817.000       -242.000      270      "Resistor 49.9 ohm"                                                                                                                       
R36        Res_0402_49p9_1pct TopLayer    Generic_0402            861.000       -242.000      270      "Resistor 49.9 ohm"                                                                                                                       
R35        Res_0402_49p9_1pct TopLayer    Generic_0402            1170.000      -563.000      90       "Resistor 49.9 ohm"                                                                                                                       
R34        Res_0402_49p9_1pct TopLayer    Generic_0402            1128.000      -563.000      90       "Resistor 49.9 ohm"                                                                                                                       
R33        Res_0402_0         TopLayer    Generic_0402            968.000       -483.000      90       "RES SMD 0 OHM JUMPER 1/10W 0402"                                                                                                         
R32        Res_0402_DNP       TopLayer    Generic_0402            926.000       -483.000      270      "Resistor 0402 DNP"                                                                                                                       
R31        Res_0402_10K_1pct  TopLayer    Generic_0402            882.000       -483.000      90       "Resistor 10 Kohm"                                                                                                                        
D5         ESDLC3V3D3-TP      TopLayer    SOD-323                 373.000       -265.000      270      ESDLC3V3D3-TP                                                                                                                             
C5         Cap_0603_10uF      TopLayer    GENERIC_0603            373.000       -378.409      90       Capacitor                                                                                                                                 
TP13       "SMT Pad"          BottomLayer TP_PAD_20mil            902.886       -655.000      180      "SMT pad for test"                                                                                                                        
TP12       "SMT Pad"          BottomLayer TP_PAD_20mil            902.886       -694.000      180      "SMT pad for test"                                                                                                                        
TP11       "SMT Pad"          BottomLayer TP_PAD_20mil            910.000       -920.000      180      "SMT pad for test"                                                                                                                        
U7         749020100          TopLayer    Wurth749020100          1075.000      -860.000      180      "Ethernet Magnetics Wurth 749020100"                                                                                                      
R15        Res_0402_10K_1pct  TopLayer    Generic_0402            595.000       -1035.148     270      "Resistor 10 Kohm"                                                                                                                        
TP9        "SMT Pad"          TopLayer    TP_PAD_20mil            793.000       -523.890      90       "SMT pad for test"                                                                                                                        
TP7        "SMT Pad"          TopLayer    TP_PAD_20mil            761.630       -605.000      90       "SMT pad for test"                                                                                                                        
U8         MCP9804T           TopLayer    Temp_MCP9804T           690.945       -942.913      270      "I2C Temp Sensor MCP9804T-E/MC"                                                                                                           
U1         CAT24M01WI-GT3     TopLayer    SOIC8                   613.055       -498.890      0        "I2C EEPROM 1Mbit"                                                                                                                        
R30        Res_0402_10K_1pct  TopLayer    Generic_0402            433.071       -500.000      90       "Resistor 10 Kohm"                                                                                                                        
R29        Res_0402_10K_1pct  TopLayer    Generic_0402            702.000       -1030.000     270      "Resistor 10 Kohm"                                                                                                                        
R28        Res_0402_DNP       TopLayer    Generic_0402            742.010       -1029.274     270      "Resistor 0402 DNP"                                                                                                                       
R27        Res_0402_DNP       TopLayer    Generic_0402            393.701       -539.370      270      "Resistor 0402 DNP"                                                                                                                       
C45        "0.1uF 25V"        TopLayer    Generic_0603            803.150       -820.866      90       "Capacitor 0.1uF 0603 package"                                                                                                            
C44        "0.1uF 25V"        BottomLayer Generic_0603            608.268       -413.386      0        "Capacitor 0.1uF 0603 package"                                                                                                            
R26        Res_0402_2.2K      TopLayer    Generic_0402            1007.874      -1551.181     180      "Resistor 2.2 Kohm"                                                                                                                       
R5         330                TopLayer    Generic_0402            260.598       -1566.929     270      "RES 330 OHM 1/10W 1% 0402 SMD"                                                                                                           
D4         "LED White"        TopLayer    0402_LED_WHITE          260.598       -1641.732     360      "Surface mount LEDs"                                                                                                                      
R7         330                TopLayer    Generic_0402            208.105       -1566.929     270      "RES 330 OHM 1/10W 1% 0402 SMD"                                                                                                           
D3         "LED White"        TopLayer    0402_LED_WHITE          208.105       -1641.732     360      "Surface mount LEDs"                                                                                                                      
R25        75                 BottomLayer Generic_0402            1066.000      -785.000      0        "75R 0.063W 5% 0402 (1005 Metric)  SMD"                                                                                                   
R24        75                 BottomLayer Generic_0402            1067.000      -934.000      0        "75R 0.063W 5% 0402 (1005 Metric)  SMD"                                                                                                   
C48        0.1uF              BottomLayer GENERIC_0402            1235.000      -635.000      0        "Capacitor 0.1uF 0402 package"                                                                                                            
C47        "0.1uF 25V"        TopLayer    GENERIC_0603            86.614        -358.268      0        "Capacitor 0.1uF 0603 package"                                                                                                            
C46        "0.1uF 25V"        TopLayer    GENERIC_0603            86.614        -448.819      180      "Capacitor 0.1uF 0603 package"                                                                                                            
C31        0.1uF              BottomLayer GENERIC_0402            1235.000      -1080.417     0        "Capacitor 0.1uF 0402 package"                                                                                                            
C29        0.001uF            BottomLayer Generic_0402            1066.000      -884.333      0        "Capacitor 0.001uF 0402 package"                                                                                                          
J12        DNP                TopLayer    HDR1X2                  304.331       -1429.134     180      "Header, 2-Pin"                                                                                                                           
R16        Res_0402_2.2K      TopLayer    GENERIC_0402            484.252       -948.819      180      "Resistor 2.2 Kohm"                                                                                                                       
R17        Res_0402_2.2K      TopLayer    GENERIC_0402            484.252       -905.512      180      "Resistor 2.2 Kohm"                                                                                                                       
R18        Res_0402_2.2K      TopLayer    GENERIC_0402            1256.000      -511.000      270      "Resistor 2.2 Kohm"                                                                                                                       
R19        Res_0402_2.2K      TopLayer    GENERIC_0402            1219.000      -512.000      270      "Resistor 2.2 Kohm"                                                                                                                       
R20        Res_0402_2.2K      TopLayer    GENERIC_0402            488.189       -1141.732     360      "Resistor 2.2 Kohm"                                                                                                                       
R21        Res_0402_2.2K      TopLayer    GENERIC_0402            488.189       -1098.425     360      "Resistor 2.2 Kohm"                                                                                                                       
C43        "0.1uF 25V"        TopLayer    GENERIC_0603            401.575       -665.354      90       "Capacitor 0.1uF 0603 package"                                                                                                            
R10        "4.87k 1%"         BottomLayer Generic_0402            1177.000      -1632.000     90       "75R 0.063W 5% 0402 (1005 Metric)  SMD"                                                                                                   
C1         "0.1uF 25V"        TopLayer    GENERIC_0603            610.236       -820.866      90       "Capacitor 0.1uF 0603 package"                                                                                                            
C2         Cap_0603_10uF      TopLayer    GENERIC_0603            562.992       -820.866      90       Capacitor                                                                                                                                 
C3         "0.1uF 25V"        BottomLayer GENERIC_0603            1267.716      -1486.220     90       "Capacitor 0.1uF 0603 package"                                                                                                            
C4         "0.1uF 25V"        BottomLayer GENERIC_0603            828.740       -1618.110     0        "Capacitor 0.1uF 0603 package"                                                                                                            
C6         Cap_0603_10uF      BottomLayer GENERIC_0603            1267.716      -1572.835     90       Capacitor                                                                                                                                 
C7         "0.1uF 25V"        TopLayer    GENERIC_0603            679.134       -661.417      180      "Capacitor 0.1uF 0603 package"                                                                                                            
C8         "0.1uF 25V"        TopLayer    GENERIC_0603            954.724       -1216.535     180      "Capacitor 0.1uF 0603 package"                                                                                                            
C9         "0.1uF 25V"        TopLayer    GENERIC_0603            303.150       -1163.386     270      "Capacitor 0.1uF 0603 package"                                                                                                            
C10        "0.1uF 25V"        TopLayer    GENERIC_0603            759.842       -820.866      90       "Capacitor 0.1uF 0603 package"                                                                                                            
C11        "0.1uF 25V"        TopLayer    GENERIC_0603            511.811       -663.386      90       "Capacitor 0.1uF 0603 package"                                                                                                            
C12        "0.1uF 25V"        TopLayer    GENERIC_0603            230.000       -647.591      270      "Capacitor 0.1uF 0603 package"                                                                                                            
C13        Cap_0603_10uF      TopLayer    GENERIC_0603            1167.323      -1433.071     180      Capacitor                                                                                                                                 
C14        0.01uF             TopLayer    Generic_0402            1161.417      -1500.000     180      "Capacitor 0.01uF 0402 package"                                                                                                           
C15        0.001uF            TopLayer    Generic_0402            1161.417      -1625.984     180      "Capacitor 0.001uF 0402 package"                                                                                                          
C16        100pF              TopLayer    Generic_0402            1161.417      -1562.992     180      "Capacitor 100pF 0402 package"                                                                                                            
C17        Cap_0603_10uF      TopLayer    GENERIC_0603            1090.551      -1627.953     90       Capacitor                                                                                                                                 
C18        0.01uF             TopLayer    Generic_0402            1039.370      -1625.984     90       "Capacitor 0.01uF 0402 package"                                                                                                           
C19        0.001uF            TopLayer    Generic_0402            921.260       -1625.984     90       "Capacitor 0.001uF 0402 package"                                                                                                          
C20        100pF              TopLayer    Generic_0402            980.315       -1625.984     90       "Capacitor 100pF 0402 package"                                                                                                            
